Image Source,Product Description,Sku  Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Size,Length,Width,Product Description,Sku Code,Rolled Canvas White Border - Estimated Cost,Rolled Canvas White Border -  Estimated Retail,Rolled Canvas White Border - UI Retail,Rolled Canvas White Border -  TAR UI Cost,,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Black Border - UI","Rolled Canvas 2"" Black Border - Estimated Cost","Rolled Canvas 2"" Black Border - Estimated Retail","Rolled Canvas 2"" Black Border - UI Retail","Rolled Canvas 2"" Black Border - TAR UI Cost",,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Mirrored Border - UI","Rolled Canvas 2"" Mirror Border - Estimated Cost","Rolled Canvas 2"" Mirror Border -  Estimated Retail","Rolled Canvas 2"" Mirror - UI Retail","Rolled Canvas 2"" Mirror - TAR UI Cost",,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,5:7,0.71,54 x 75.5,54,75.5,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,31,19,24,3.17,234,1.63,,0.72,13 x 18,13,18,"Canvas Giclee Print with 3"" White Border",WH,20.46,$68.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,35,23.10,$77.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,35,27.14,$90.48,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,47,26,36,6.50,527,3.66,,0.72,19.5 x 27,19.5,27,"Canvas Giclee Print with 3"" White Border",WH,31.02,$103.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,51,33.66,$112.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,51,39.55,$131.84,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,59,31,42,9.04,833,5.78,,0.72,24.5 x 34,24.5,34,"Canvas Giclee Print with 3"" White Border",WH,40.89,$136.29,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,63,43.66,$145.53,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,63,51.14,$170.48,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,L,Large,78,39,60,16.25,1463,10.16,,0.72,32.5 x 45,32.5,45,"Canvas Giclee Print with 3"" White Border",WH,56.63,$188.76,$2.42,$0.726,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,82,59.53,$198.44,$2.42,$0.726,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,82,69.54,$231.81,$2.83,$0.848,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,93,45,60,18.75,2106,14.63,,0.72,39 x 54,39,54,"Canvas Giclee Print with 3"" White Border",WH,79.79,$265.98,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,97,83.23,$277.42,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,97,94.87,$316.22,$3.26,$0.978,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,,,52 x 72,52,72,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,33,21,24,3.50,266,1.85,,0.73,14 x 19,14,19,"Canvas Giclee Print with 3"" White Border",WH,21.78,$72.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,37,24.42,$81.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,37,28.69,$95.65,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,52,28,36,7.00,660,4.58,,0.73,22 x 30,22,30,"Canvas Giclee Print with 3"" White Border",WH,34.32,$114.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,56,36.96,$123.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,56,43.43,$144.76,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,66,44,36,11.00,1064,7.39,,0.73,28 x 38,28,38,"Canvas Giclee Print with 3"" White Border",WH,45.74,$152.46,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,70,48.51,$161.70,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,70,56.83,$189.42,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,L,Large,83,54,42,15.75,1663,11.55,,0.73,35 x 47.5,35,47.5,"Canvas Giclee Print with 3"" White Border",WH,60.26,$200.86,$2.42,$0.726,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,87,63.16,$210.54,$2.42,$0.726,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,87,73.78,$245.95,$2.83,$0.848,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,92,45,60,18.75,2067,14.35,,0.73,39 x 53,39,53,"Canvas Giclee Print with 3"" White Border",WH,78.94,$263.12,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,96,82.37,$274.56,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,96,93.77,$312.58,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.73,54.5 x 74,54.5,74,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,36,21,24,3.50,304,2.11,,0.74,15 x 20.25,15,20.25,"Canvas Giclee Print with 3"" White Border",WH,23.76,$79.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,40,26.40,$88.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,40,31.02,$103.40,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,54,37,36,9.25,713,4.95,,0.74,23 x 31,23,31,"Canvas Giclee Print with 3"" White Border",WH,35.64,$118.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,58,38.28,$127.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,58,44.98,$149.93,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,68,45,36,11.25,1131,7.85,,0.74,29 x 39,29,39,"Canvas Giclee Print with 3"" White Border",WH,47.12,$157.08,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,72,49.90,$166.32,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,72,58.45,$194.83,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,O,Oversize,80,52,42,15.17,1564,10.86,,0.74,34 x 46,34,46,"Canvas Giclee Print with 3"" White Border",WH,63.36,$211.20,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,84,66.53,$221.76,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,84,75.95,$253.18,$3.01,$0.904,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,94,46,60,19.17,2160,15.00,,0.74,40 x 54,40,54,"Canvas Giclee Print with 3"" White Border",WH,80.65,$268.84,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,98,84.08,$280.28,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,98,95.73,$319.09,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.74,54 x 73,54,73,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,28,18,24,3.00,192,1.34,3:4,0.75,12 x 16,12,16,"Canvas Giclee Print with 3"" White Border",WH,18.48,$61.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,32,21.12,$70.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,32,24.82,$82.72,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,42,30,24,5.00,432,3.00,3:4,0.75,18 x 24,18,24,"Canvas Giclee Print with 3"" White Border",WH,27.72,$92.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,46,30.36,$101.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,46,35.67,$118.91,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,L,Large,56,30,42,8.75,768,5.34,3:4,0.75,24 x 32,24,32,"Canvas Giclee Print with 3"" White Border",WH,40.66,$135.52,$2.42,$0.726,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,60,43.56,$145.20,$2.42,$0.726,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,60,50.89,$169.62,$2.83,$0.848,,
Italy,Giclee Print on Canvas,CV,O,Oversize,70,36,50,12.50,"1,200",8.34,3:4,0.75,30 x 40,30,40,"Canvas Giclee Print with 3"" White Border",WH,55.44,$184.80,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,74,58.61,$195.36,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,74,66.91,$223.04,$3.01,$0.904,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,95,48,60,20.00,"1,200",8.34,3:4,0.75,40.5 x 54,40.5,54,"Canvas Giclee Print with 3"" White Border",WH,81.51,$271.70,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,99,84.94,$283.14,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,99,96.70,$322.34,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,3:4,0.75,54 x 72,54,72,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,37,22,24,3.67,336,2.33,,0.76,16 x 21,16,21,"Canvas Giclee Print with 3"" White Border",WH,24.42,$81.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,41,27.06,$90.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,41,31.80,$105.99,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,60,32,42,9.33,884,6.14,,0.76,26 x 34,26,34,"Canvas Giclee Print with 3"" White Border",WH,39.60,$132.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,64,42.24,$140.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,64,49.63,$165.44,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,67,44,36,11.00,1102,7.65,,0.76,29 x 38,29,38,"Canvas Giclee Print with 3"" White Border",WH,46.43,$154.77,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,71,49.20,$164.01,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,71,57.64,$192.13,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,O,Oversize,83,53,42,15.46,1692,11.75,,0.76,36 x 47,36,47,"Canvas Giclee Print with 3"" White Border",WH,65.74,$219.12,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,87,68.90,$229.68,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,87,78.67,$262.22,$3.01,$0.904,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,93,46,60,19.17,2100,14.58,,0.76,40 x 52.5,40,52.5,"Canvas Giclee Print with 3"" White Border",WH,79.79,$265.98,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,97,83.23,$277.42,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,97,94.75,$315.83,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.76,55 x 72,55,72,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,35,26,24,4.33,293,2.03,,0.77,15 x 19.5,15,19.5,"Canvas Giclee Print with 3"" White Border",WH,23.10,$77.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,39,25.74,$85.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,39,30.24,$100.82,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,58,31,42,9.04,813,5.64,,0.77,25 x 32.5,25,32.5,"Canvas Giclee Print with 3"" White Border",WH,38.28,$127.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,62,40.92,$136.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,62,48.08,$160.27,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,69,45,36,11.25,1170,8.13,,0.77,30 x 39,30,39,"Canvas Giclee Print with 3"" White Border",WH,47.82,$159.39,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,73,50.59,$168.63,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,73,59.26,$197.54,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,O,Oversize,81,51,42,14.88,1593,11.06,,0.77,35 x 45.5,35,45.5,"Canvas Giclee Print with 3"" White Border",WH,64.15,$213.84,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,85,67.32,$224.40,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,85,76.86,$256.19,$3.01,$0.904,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,96,48,60,20.00,2241,15.56,,0.77,41.5 x 54,41.5,54,"Canvas Giclee Print with 3"" White Border",WH,82.37,$274.56,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,100,85.80,$286.00,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,100,97.68,$325.60,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.77,57 x 74,57,74,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,39,23,24,3.83,370,2.57,,0.78,17 x 21.75,17,21.75,"Canvas Giclee Print with 3"" White Border",WH,25.74,$85.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,43,28.38,$94.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,43,33.35,$111.16,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,57,38,36,9.50,800,5.56,,0.78,25 x 32,25,32,"Canvas Giclee Print with 3"" White Border",WH,37.62,$125.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,61,40.26,$134.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,61,47.31,$157.69,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,70,37,50,12.85,1190,8.26,,0.78,30.5 x 39,30.5,39,"Canvas Giclee Print with 3"" White Border",WH,48.51,$161.70,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,74,51.28,$170.94,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,74,60.07,$200.24,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,O,Oversize,82,52,42,15.17,1656,11.50,,0.78,36 x 46,36,46,"Canvas Giclee Print with 3"" White Border",WH,64.94,$216.48,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,86,68.11,$227.04,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,86,77.76,$259.20,$3.01,$0.904,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,97,49,60,20.42,2282,15.84,,0.78,42.25 x 54,42.25,54,"Canvas Giclee Print with 3"" White Border",WH,83.23,$277.42,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,101,86.66,$288.86,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,101,98.66,$328.86,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.78,55.5 x 71,55.5,71,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,25,17,24,2.83,154,1.07,5.5:7,0.79,11 x 14,11,14,"Canvas Giclee Print with 3"" White Border",WH,16.50,$55.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,29,19.14,$63.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,29,22.49,$74.97,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,50,28,36,7.00,616,4.28,5.5:7,0.79,22 x 28,22,28,"Canvas Giclee Print with 3"" White Border",WH,34.65,$115.50,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,54,37.42,$124.74,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,54,43.84,$146.12,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,L,Large,75,39,50,13.54,1386,9.63,5.5:7,0.79,33 x 42,33,42,"Canvas Giclee Print with 3"" White Border",WH,54.45,$181.50,$2.42,$0.726,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,79,57.35,$191.18,$2.42,$0.726,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,79,67.00,$223.33,$2.83,$0.848,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,5.5:7,0.79,53 x 67.5,53,67.5,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,S,Small,36,22,36,5.50,320,2.22,4:5,0.80,16 x 20,16,20,"Canvas Giclee Print with 3"" White Border",WH,23.76,$79.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,40,26.40,$88.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,40,31.02,$103.40,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,54,30,36,7.50,720,5.00,4:5,0.80,24 x 30,24,30,"Canvas Giclee Print with 3"" White Border",WH,37.42,$124.74,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,58,40.19,$133.98,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,58,47.08,$156.95,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,L,Large,72,38,50,13.19,"1,280",8.89,4:5,0.80,32 x 40,32,40,"Canvas Giclee Print with 3"" White Border",WH,52.27,$174.24,$2.42,$0.726,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,76,55.18,$183.92,$2.42,$0.726,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,76,64.46,$214.85,$2.83,$0.848,,
Italy,Giclee Print on Canvas,CV,O,Oversize,81,51,42,14.88,"1,620",11.25,4:5,0.80,36 x 45,36,45,"Canvas Giclee Print with 3"" White Border",WH,64.15,$213.84,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,85,67.32,$224.40,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,85,76.86,$256.19,$3.01,$0.904,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,90,46,60,19.17,"1,620",13.89,4:5,0.80,40 x 50,40,50,"Canvas Giclee Print with 3"" White Border",WH,77.22,$257.40,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,94,80.65,$268.84,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,94,91.82,$306.06,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,4:5,0.80,52 x 65,52,65,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,37,23,24,3.83,325,2.26,,0.81,16.25 x 20,16.25,20,"Canvas Giclee Print with 3"" White Border",WH,24.42,$81.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,41,27.06,$90.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,41,31.80,$105.99,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,58,33,36,8.25,832,5.78,,0.81,26 x 32,26,32,"Canvas Giclee Print with 3"" White Border",WH,38.28,$127.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,62,40.92,$136.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,62,48.08,$160.27,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,73,39,50,13.54,1300,9.03,,0.81,32.5 x 40,32.5,40,"Canvas Giclee Print with 3"" White Border",WH,50.59,$168.63,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,77,53.36,$177.87,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,77,62.51,$208.36,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,O,Oversize,87,54,50,18.75,1872,13.00,,0.81,39 x 48,39,48,"Canvas Giclee Print with 3"" White Border",WH,68.90,$229.68,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,91,72.07,$240.24,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,91,82.28,$274.27,$3.01,$0.904,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,96,49,60,20.42,2279,15.83,,0.81,43 x 53,43,53,"Canvas Giclee Print with 3"" White Border",WH,82.37,$274.56,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,100,85.80,$286.00,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,100,97.68,$325.60,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.81,56 x 69,56,69,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,37,23,24,3.83,330,2.29,,0.82,16.5 x 20,16.5,20,"Canvas Giclee Print with 3"" White Border",WH,24.42,$81.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,41,27.06,$90.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,41,31.80,$105.99,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,S,Small,59,33,36,8.25,848,5.89,,0.82,26.5 x 32,26.5,32,"Canvas Giclee Print with 3"" White Border",WH,38.94,$129.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,63,41.58,$138.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,63,48.86,$162.86,$2.59,$0.776,,
Italy,Giclee Print on Canvas,CV,M,Medium,73,46,42,13.42,1320,9.17,,0.82,33 x 40,33,40,"Canvas Giclee Print with 3"" White Border",WH,50.59,$168.63,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,77,53.36,$177.87,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,77,62.51,$208.36,$2.71,$0.812,,
Italy,Giclee Print on Canvas,CV,O,Oversize,84,52,50,18.06,1748,12.14,,0.82,38 x 46,38,46,"Canvas Giclee Print with 3"" White Border",WH,66.53,$221.76,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,88,69.70,$232.32,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,88,79.57,$265.23,$3.01,$0.904,,
Italy,Giclee Print on Canvas,CV,X,Oversize Large,99,51,60,21.04,2403,16.69,,0.82,44.5 x 54,44.5,54,"Canvas Giclee Print with 3"" White Border",WH,84.94,$283.14,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,103,88.37,$294.58,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,103,100.61,$335.37,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.82,57 x 69,57,69,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
Italy,Giclee Print on Canvas,CV,P,Petite,33,21,24,3.50,270,1.88,5:6,0.83,15 x 18,15,18,"Canvas Giclee Print with 3"" White Border",WH,21.78,$72.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,P,37,24.42,$81.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,P,37,28.69,$95.65,$2.59,$0.776,,
